245,12,279,27,12.149,0.18956,-0.032467,0.22742,1.1461e+05
193,19,298,24,10.837,0.030018,0.3021,2.2015,21604
195,12,163,27,10.067,0.074736,0.036288,0.19912,1.918e+05
214,25,150,18,3.8831,0.069525,1.0744,4.5946,32755
190,11,167,12,8.7132,0.082509,0.28637,2.9416,15681
236,18,216,23,18.946,0.08854,0.27402,2.3597,38607
206,14,187,13,16.128,0.037042,0.26907,2.2268,32644
184,13,187,19,10.163,0.23946,1.0503,2.5289,43577
199,23,170,11,15.761,0.00024133,0.2847,2.0963,26669
249,16,158,24,4.4694,0.023295,0.26512,1.3267,18176
196,10,175,24,4.7194,0.19138,-0.018985,0.13884,1.5841e+05
183,20,285,26,11.916,0.039272,0.29825,2.1504,24557
195,17,195,14,9.2968,0.0048654,0.31921,2.1633,15990
175,21,178,30,11.59,0.22856,-0.075446,1.7235,28591
200,11,212,14,10.877,0.053483,0.27411,2.3123,22845
153,18,247,24,4.2678,0.20436,0.61781,2.24,27351
207,16,155,26,15.161,0.23615,-0.013702,2.8255,84256
205,16,254,17,11.006,0.02333,0.29344,2.2333,19064
178,18,236,14,4.7509,0.03606,0.49484,2.4489,17911
184,16,265,28,6.6631,0.17587,-0.095159,1.5594,50644
214,13,233,29,10.11,0.037911,-0.037528,0.32859,2.8682e+05
241,18,249,20,13.713,0.10067,0.26079,2.8091,28960
223,23,292,13,12.317,0.1259,-0.33495,2.035,26456
246,21,220,13,9.7069,0.19104,-0.32053,1.6275,16773
151,22,194,22,12.512,0.23211,1.1017,3.0512,56739
221,15,193,16,18.808,0.2556,1.0666,2.3322,71542
242,18,197,15,10.822,0.21528,-0.33375,1.5253,15187
159,21,280,12,10.575,0.058581,0.26598,2.4795,26918
247,16,282,17,18.483,0.08941,0.25272,2.7768,1.4592e+05
165,20,239,11,18.595,0.19797,1.019,3.1094,1.8712e+05
211,18,177,23,7.7736,0.015784,0.39469,2.0572,18075
218,23,185,23,17.056,0.0092019,0.31385,1.8901,29653
244,20,184,25,11.919,0.11847,0.30811,2.5916,28364
181,20,299,29,15.03,0.18526,-0.32053,2.0019,34199
167,21,212,15,6.6124,0.032112,0.39696,2.4299,19837
198,22,268,11,7.3007,0.029456,0.3046,2.5986,20105
175,18,280,15,14.921,0.13351,-0.31242,1.8814,50100
248,14,288,29,6.8905,0.21735,-0.026085,0.28052,2.0647e+05
233,25,240,28,18.528,0.0081364,0.31086,1.9332,33562
185,17,152,27,14.907,0.141,0.32747,1.9089,42374
159,15,249,12,7.0216,0.23374,-0.30319,1.4022,14294
184,21,263,11,3.5357,0.18253,0.37574,1.8828,23098
